Name,Slug,Defender Name,Counties,Address,Phone,Fax,Description,Additional Offices
Alapaha Circuit,alapaha-circuit,Gabriel Cason,"Atkinson, Berrien, Clinch, Cook, Lanier","105 North Parrish Ave, Adel, GA 31620",229-896-2858,229-896-2875,"The Alapaha Judicial Circuit is located in southern Georgia and encompasses five counties: Atkinson, Berrien, Clinch, Cook, and Lanier. This circuit primarily covers rural areas known for their agricultural landscapes and small-town charm.",
Alcovy Circuit,alcovy-circuit,Anthony Carter,"Newton, Walton","1160 Pace St, Covington, GA 30014",770-788-3750,770-788-3757,"The Alcovy Judicial Circuit serves Newton and Walton Counties in the north-central Piedmont region of Georgia, providing public defense services to communities east of metropolitan Atlanta.","Walton County: 303 S. Hammond Dr., Suite 98, Monroe, GA 30655, 770-266-1540"
Appalachian Circuit,appalachian-circuit,Clint Hooker,"Fannin, Gilmer, Pickens","1 Broad St, Ste 001, Ellijay, GA 30540",706-698-7322,706-698-7333,"The Appalachian Judicial Circuit covers three mountainous counties in north Georgia: Fannin, Gilmer, and Pickens. The circuit is known for its scenic beauty and outdoor recreation.",
Atlanta Circuit,atlanta-circuit,Maurice Kenner,Fulton,"100 Peachtree Street, NW, Suite 1600, Atlanta, GA 30303",404-612-5200,404-730-5856,"The Atlanta Judicial Circuit is located in north-central Georgia and encompasses Fulton County. This circuit covers a highly urbanized area, including the city of Atlanta, the state's capital and largest city.",
Atlantic Circuit,atlantic-circuit,Joshua Brockington,"Bryan, Evans, Liberty, Long, McIntosh, Tattnall","201 South Main Street, Suite 2400, Hinesville, GA 31313",912-369-6338,912-369-8327,"The Atlantic Judicial Circuit serves six coastal and near-coastal counties in southeastern Georgia, including the area surrounding Fort Stewart military installation.","Bryan County: P.O. Box 1270, Pembroke, GA 31321, 912-653-4605 | McIntosh County: 102 Madison Street, Darien, GA 31305, 912-437-3880 | Tattnall County: 108 W. Brazell St, Suite 321, Reidsville, GA 30453, 912-557-4426 | Appling/Jeff Davis/Wayne Counties: 241 East Walnut Street, Jesup, GA 31598, 912-427-9066"
Augusta Circuit,augusta-circuit,Lee Prescott,"Burke, Richmond","902 Greene Street, Augusta, GA 30901",706-312-5105,,"The Augusta Judicial Circuit encompasses two counties in the Central Savannah River Area, including Georgia's second-largest city, Augusta.",
Brunswick Circuit,brunswick-circuit,Stephen Tillman,"Appling, Camden, Glynn, Jeff Davis, Wayne","11 Judicial Lane, Suite 111, Brunswick, GA 31520",912-554-7072,912-279-2964,"The Brunswick Judicial Circuit covers five counties along Georgia's southeastern coast, including the historic port city of Brunswick and the Golden Isles.","Camden County: 403 Georgia Avenue, Woodbine, GA 31569, 912-673-9488 | Appling/Jeff Davis/Wayne Counties: 241 East Walnut Street, Jesup, GA 31598, 912-427-9066"
Chattahoochee Circuit,chattahoochee-circuit,T. Moffett Flournoy,"Chattahoochee, Harris, Marion, Muscogee, Talbot, Taylor","420 10th Street, Ste 001, Columbus, GA 31901",706-653-4301,706-225-4309,"The Chattahoochee Judicial Circuit serves six counties in west-central Georgia, including Columbus, the state's third-largest city.",
Cherokee Circuit,cherokee-circuit,Christopher Paul,"Bartow, Gordon","128 W. Cherokee Ave, Cartersville, GA 30120",678-721-3254,678-721-3255,"The Cherokee Judicial Circuit covers Bartow and Gordon Counties in northwest Georgia, an area with a rich history in the Cherokee Nation.",
Clayton Circuit,clayton-circuit,Douglas Smith,Clayton,"6525 Professional Place, Riverdale, GA 30274",678-479-5036,678-479-5037,"The Clayton Judicial Circuit serves Clayton County, located south of Atlanta and home to Hartsfield-Jackson Atlanta International Airport.",
